arch,x,n,m,delta,sorting,server,client
Nonblocking,5,0,5,0,1,3,270
Nonblocking,5,10000,5,0,172,174,1182
Nonblocking,5,20000,5,0,438,439,2322
Nonblocking,5,30000,5,0,917,918,4700
Nonblocking,5,40000,5,0,1814,1814,9248
Nonblocking,5,50000,5,0,3838,3840,19498
Nonblocking,5,60000,5,0,5942,5944,30034
Nonblocking,5,70000,5,0,7969,7970,40216
Nonblocking,5,80000,5,0,10388,10390,52466
Nonblocking,5,90000,5,0,12639,12642,63961
Nonblocking,5,100000,5,0,16811,16813,84853
