arch,x,n,m,delta,sorting,server,client
Threaded,5,0,5,0,0,4,88
Threaded,5,10000,5,0,119,123,670
Threaded,5,20000,5,0,309,310,1648
Threaded,5,30000,5,0,835,837,4278
Threaded,5,40000,5,0,1360,1361,6972
Threaded,5,50000,5,0,2515,2517,12825
Threaded,5,60000,5,0,3999,4001,20304
Threaded,5,70000,5,0,6337,6340,32028
Threaded,5,80000,5,0,8498,8501,42920
Threaded,5,90000,5,0,11082,11085,55844
Threaded,5,100000,5,0,12649,12654,63764
